Time (s),Linear Acceleration z1 (m/s^2),Linear Acceleration z2 (m/s^2),Linear Acceleration z3 (m/s^2)
4.21,0.08103466,0.235304356,0.48156023
4.215,0.119542599,0.189711571,0.484195709
4.22,0.19209671,0.235490799,0.490439892
4.225,0.202904701,0.255437851,0.476195335
4.23,0.235725403,0.273592949,0.449009895
4.235,0.19957304,0.297338009,0.382567883
4.24,0.163724899,0.336335182,0.291250229
4.245,0.111289501,0.311628819,0.177304745
4.25,0.058758259,0.240113735,0.071516991
4.255,0.051448345,0.25808382,-0.026339531
4.26,0.046404362,0.233660221,-0.099823475
4.265,-0.013783455,0.281514645,-0.163638592
4.27,0.028817177,0.24619627,-0.218050957
4.275,0.001953125,0.273736954,-0.244202614
4.28,0.042093277,0.313952446,-0.235277653
4.285,0.010420322,0.316811562,-0.172263622
4.29,0.081625938,0.260838032,-0.158164978
4.295,0.069217205,0.188761711,-0.161776543
4.3,0.162233353,0.128909111,-0.113811016
4.305,0.174127579,0.030756474,-0.014304638
4.31,0.114483356,-0.075068951,-0.042690754
4.315,0.174850941,-0.140871048,0.030622959
4.32,0.146924019,-0.157225132,-0.023903847
4.325,0.140920162,-0.14814949,0.059459209
4.33,0.135094166,-0.199809074,0.041538715
4.335,0.10563755,-0.198225975,0.142857075
4.34,0.092971325,-0.147581577,0.102851391
4.345,0.106744289,-0.076671124,0.161180496
4.35,0.043895721,-0.006780148,0.186360836
4.355,0.100751877,0.029110432,0.164135933
4.36,0.088378906,0.067147255,0.192635059
4.365,0.202933311,0.135977268,0.176235199
4.37,0.269951344,0.154884815,0.186788082
4.375,0.280021667,0.176688194,0.238724232
4.38,0.333785057,0.168133736,0.207618237
4.385,0.302159309,0.241065502,0.194171429
4.39,0.319200993,0.221431255,0.164874554
4.395,0.222150803,0.271492481,0.069335461
4.4,0.183150291,0.259982586,0.038872719
4.405,0.130186081,0.196856976,-0.027323246
4.41,0.139729023,0.184634209,-0.009963512
4.415,0.151814938,0.191922665,-0.019128799
4.42,0.101885319,0.180473328,0.005074501
4.425,0.059313297,0.159931183,-0.013792992
4.43,0.014432907,0.144614697,-0.037522316
4.435,0.058121681,0.153309822,-0.063761234
4.44,0.013318062,0.100245476,-0.176411152
4.445,-0.007577419,0.068865776,-0.203342438
4.45,-0.02381134,0.042366028,-0.18067503
4.455,-0.01141119,0.01833868,-0.165940762
4.46,-0.027888775,-0.029386997,-0.098538399
4.465,-0.058951855,-0.057872772,-0.053538799
4.47,-0.092725754,-0.081720352,-0.013901234
4.475,-0.117265701,-0.122495174,0.034847736
4.48,-0.12302494,-0.123188019,-0.002280235
4.485,-0.155520439,-0.169569016,0.017953873
4.49,-0.154850006,-0.156750202,0.061834335
4.495,-0.118822098,-0.177811146,0.09835434
4.5,-0.154882431,-0.182599545,0.17033577
4.505,-0.138554573,-0.159367561,0.163553715
4.51,-0.098393917,-0.153458118,0.2140975
4.515,-0.027107239,-0.098351479,0.148086548
4.52,0.020375252,-0.067955017,0.194500446
4.525,0.017875671,-0.057162762,0.152939796
4.53,0.003767967,-0.022920609,0.173843384
4.535,0.018613815,-0.027042389,0.166436195
4.54,0.002552986,-0.009661198,0.180729389
4.545,0.022320271,0.031318188,0.152457714
4.55,0.061177254,0.02451992,0.150669575
4.555,0.052537441,0.086633682,0.115665436
4.56,0.09165144,0.108025551,0.085808277
4.565,0.085734367,0.108187675,0.09186554
4.57,0.023130894,0.144227028,0.085868359
4.575,0.008624077,0.125684738,0.096343517
4.58,-0.031688213,0.09812355,0.028050423
4.585,-0.121629715,0.097244263,0.064284325
4.59,-0.101671696,0.122867107,0.095057011
4.595,-0.074923038,0.108094692,0.130046368
4.6,-0.081802368,0.122217178,0.117061615
4.605,-0.107887745,0.136489868,0.161157608
4.61,-0.157710552,0.09403801,0.126779556
4.615,-0.159892082,0.052061558,0.142859459
4.62,-0.153065681,-0.00149107,0.159149647
4.625,-0.187156916,0.014132023,0.213698387
4.63,-0.204837322,-0.034762383,0.180439472
4.635,-0.144463062,-0.038379192,0.188481808
4.64,-0.094318867,-0.004269123,0.1708951
4.645,-0.059014797,-0.022954464,0.122998714
4.65,-0.021602154,-0.027256966,0.051920414
4.655,0.063009262,-0.021971703,0.031303883
4.66,0.051919937,-0.030862808,-0.039093971
4.665,0.012602806,-0.023009777,-0.035614491
4.67,0.054336071,-0.022206306,-0.106294155
4.675,0.031767845,0.021472454,-0.110432625
4.68,0.030949593,0.045907497,-0.105571747
4.685,0.094534397,0.067991257,-0.2010355
4.69,0.150815487,0.05475378,-0.134886742
4.695,0.128631115,0.099081516,-0.129141331
4.7,0.083238602,0.105584621,-0.159525394
4.705,0.086052418,0.01268959,-0.090261936
4.71,0.032100677,0.027838707,-0.08335638
4.715,0.069005489,-0.028255939,-0.005255222
4.72,-0.012969971,-0.064989567,0.000998497
4.725,-0.003901482,-0.077831268,0.014554501
4.73,-0.063821316,-0.119321346,0.071018219
4.735,-0.111473083,-0.151282787,0.105976105
4.74,-0.099731922,-0.21184206,0.043589592
4.745,-0.100462914,-0.220133781,0.110304832
4.75,-0.146893978,-0.250141621,0.086671352
4.755,-0.108063221,-0.249594688,0.118310452
4.76,-0.103435516,-0.173476696,0.09553194
4.765,-0.073213577,-0.209965706,0.044886112
4.77,-0.048476219,-0.234722614,0.006717682
4.775,-0.029033661,-0.147873878,-0.066578865
4.78,0.035271168,-0.097605228,-0.065746784
4.785,0.07525301,-0.090594769,-0.119701385
4.79,0.065146923,-0.069461346,-0.152151108
4.795,0.102761745,-0.07002306,-0.146609783
4.8,0.116676331,-0.039885044,-0.124624252
4.805,0.10935688,-0.078856468,-0.148151398
4.81,0.133303165,-0.06522131,-0.174177647
4.815,0.159865379,-0.042249203,-0.193260193
4.82,0.101231098,-0.059917927,-0.131996155
4.825,0.121931553,-0.068161488,-0.107213497
4.83,0.119116306,-0.017269135,-0.033029079
4.835,0.045448303,-0.024030685,-0.028497696
4.84,0.010728359,0.016498089,-0.069290161
4.845,0.007198811,0.068623543,-0.069540501
4.85,-0.050917149,0.127500057,-0.074722767
